,User-ID,Age,Location,City,State,Country,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL,User-Decade,Decade-Of-Publication
0,2,18.0,"stockton, california, usa",stockton,california,usa,0195153448,0,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,10,2000
3,388,35.0,"nashville, tennessee, usa",nashville,tennessee,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,30,1990
4,2977,25.0,"richland, washington, usa",richland,washington,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,20,1990
6,3363,29.0,"knoxville, tennessee, usa",knoxville,tennessee,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,20,1990
7,6795,31.0,"portland, oregon, usa",portland,oregon,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,30,1990
8,7346,49.0,"sunnyvale, california, usa",sunnyvale,california,usa,0440234743,9,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,40,1990
9,7352,53.0,"houston, texas, usa",houston,texas,usa,0440234743,8,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,50,1990
12,9856,22.0,"glendale, colorado, usa",glendale,colorado,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,20,1990
13,11224,51.0,"tumwater, washington, usa",tumwater,washington,usa,0440234743,6,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,50,1990
15,12923,39.0,"louisville, kentucky, usa",louisville,kentucky,usa,0440234743,10,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,30,1990
16,13552,32.0,"cordova, tennessee, usa",cordova,tennessee,usa,0440234743,8,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,30,1990
19,16795,47.0,"mechanicsville, maryland, usa",mechanicsville,maryland,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,40,1990
22,20435,62.0,"fairhope, alabama, usa",fairhope,alabama,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,60,1990
26,21264,31.0,"north brunswick, new jersey, usa",north brunswick,new jersey,usa,0440234743,5,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,30,1990
27,23511,56.0,"chapel hill, north carolina, usa",chapel hill,north carolina,usa,0440234743,8,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,50,1990
28,23768,45.0,"st. louis, missouri, usa",st. louis,missouri,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,40,1990
30,26544,37.0,"woodbridge, virginia, usa",woodbridge,virginia,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,30,1990
35,30487,40.0,"newbury park, california, usa",newbury park,california,usa,0440234743,0,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,40,1990
37,31299,74.0,"homer city, pennsylvania, usa",homer city,pennsylvania,usa,0440234743,10,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,70,1990
