,Book-Author,Count
56436,Stephen King,5687
45501,Nora Roberts,5531
30064,John Grisham,4753
26104,James Patterson,3459
11956,Danielle Steel,3116
13423,Dean R. Koontz,2803
41105,Mary Higgins Clark,2782
42444,Michael Crichton,2346
3128,Anne Rice,2286
59670,Tom Clancy,2242
57140,Sue Grafton,2070
26833,Janet Evanovich,1964
60418,V.C. Andrews,1857
54149,Sandra Brown,1777
24769,J. K. Rowling,1754
49096,R. L. Stine,1510
8441,Catherine Coulter,1499
45136,Nicholas Sparks,1494
11528,Dan Brown,1391
46546,Patricia Daniels Cornwell,1349
38693,Maeve Binchy,1346
31152,Jonathan Kellerman,1333
48760,Piers Anthony,1309
2554,Anita Shreve,1259
3091,Anne Mccaffrey,1240
31858,Jude Deveraux,1229
52278,Robin Cook,1182
2688,Ann M. Martin,1139
36632,Lilian Jackson Braun,1137
30719,John Sandford,1136
519,Agatha Christie,1109
4467,Barbara Kingsolver,1089
25077,Jack Canfield,1058
51785,Robert Ludlum,1047
50141,Rich Shapero,1015
13490,Debbie Macomber,1004
32113,Judy Blume,994
30184,John Irving,971
49876,Rebecca Wells,964
18749,Fern Michaels,962
30721,John Saul,961
24389,Iris Johansen,958
39162,Margaret Atwood,952
59367,Tim Lahaye,949
13413,Dean Koontz,944
1378,Alice Sebold,930
4345,Barbara Delinsky,922
3163,Anne Tyler,914
29485,Johanna Lindsey,892
58239,Tami Hoag,865
1961,Amy Tan,846
10517,Clive Cussler,842
1327,Alice Hoffman,819
25019,J.R.R. Tolkien,815
62620,William Shakespeare,808
45878,Orson Scott Card,804
55572,Sidney Sheldon,798
14457,Dick Francis,790
35738,Lavyrle Spencer,789
12301,David Baldacci,776
19092,Francine Pascal,770
61336,Wally Lamb,767
34042,Ken Follett,754
36843,Linda Howard,735
44908,Neil Gaiman,718
32401,Julie Garwood,717
27245,Jayne Ann Krentz,709
15431,Douglas Adams,706
27941,Jennifer Crusie,693
24446,Isaac Asimov,690
59984,Tony Hillerman,681
2745,Ann Rule,675
35549,Laurell K. Hamilton,670
39928,Marion Zimmer Bradley,666
35828,Lawrence Sanders,659
16946,Elizabeth Berg,657
59068,Thomas Harris,653
18675,Faye Kellerman,653
22990,Helen Fielding,642
57097,Stuart Woods,638
42434,Michael Connelly,637
4926,Belva Plain,634
58632,Terry Pratchett,631
42160,Mercedes Lackey,625
14355,Diane Mott Davidson,624
2871,Anna Quindlen,620
7259,C. S. Lewis,613
19316,Frank Mccourt,611
46536,Patricia Cornwell,605
27375,Jean M. Auel,603
49603,Ray Bradbury,597
51208,Robert B. Parker,594
3116,Anne Perry,594
43772,Mitch Albom,591
5563,Beverly Cleary,590
50625,Richard North Patterson,587
17162,Elizabeth Lowell,581
54721,Scott Turow,574
59932,Toni Morrison,572
7575,Carl Hiaasen,570
45089,Nicholas Evans,565
1129,Alexander Mccall Smith,552
26517,Jane Austen,552
8226,Carolyn Keene,547
10039,Christopher Pike,542
30780,John Steinbeck,542
14239,Diana Palmer,535
27751,Jeffery Deaver,531
32008,Judith Mcnaught,530
18619,Fannie Flagg,528
51655,Robert James Waller,524
38641,Madeleine L'Engle,522
4596,Barbara Taylor Bradford,519
35255,Larry Mcmurtry,518
24682,J. D. Robb,513
44981,Nelson Demille,506
36884,Linda Lael Miller,505
40357,Mark Twain,504
51029,Rita Mae Brown,503
36098,Lemony Snicket,501
26824,Janet Dailey,499
25530,James A. Michener,498
39377,Margaret Weis,497
17224,Elizabeth Peters,495
13141,David Sedaris,494
3130,Anne Rivers Siddons,493
60096,Tracy Chevalier,488
34894,Kurt Vonnegut,487
58572,Terry Brooks,485
37896,Luanne Rice,484
57160,Sue Monk Kidd,482
55090,Sharyn Mccrumb,482
55861,Sophie Kinsella,478
12123,Dave Barry,477
8859,Charles Dickens,474
53056,Rosamunde Pilcher,471
24874,J. R. R. Tolkien,468
17742,Emma Mclaughlin,466
5895,Billie Letts,465
17522,Elmore Leonard,464
26609,Jane Hamilton,459
21887,Gregory Maguire,458
26730,Jane Smiley,457
48508,Philip Pullman,453
19291,Frank Herbert,453
31055,Jon Krakauer,453
24456,Isabel Allende,452
2528,Anita Diamant,451
51056,Roald Dahl,449
51148,Robert A. Heinlein,449
28033,Jennifer Weiner,447
61158,W. E. B. Griffin,447
25142,Jack Higgins,440
58671,Tess Gerritsen,438
37719,Louis L'Amour,437
33787,Kay Hooper,437
26419,Jan Karon,433
5676,Bill Bryson,433
24939,J.A. Jance,432
1395,Alice Walker,430
22430,Harlan Coben,428
22853,Heather Graham,426
35029,L.M. Montgomery,426
51662,Robert Jordan,425
45182,Nick Hornby,424
37211,Lisa Scottoline,422
12516,David Eddings,421
2255,Andrew M. Greeley,414
39365,Margaret Truman,413
39588,Marian Keyes,412
31720,Joyce Carol Oates,410
55970,Stan Berenstain,409
57159,Sue Miller,405
26835,Janet Fitch,404
12619,David Guterson,404
19859,Gabriel Garcia Marquez,397
26603,Jane Green,393
47916,Peter David,390
45003,Nevada Barr,388
14200,Diana Gabaldon,388
46375,Pat Conroy,388
32916,Karen Robards,386
54357,Sara Paretsky,386
10018,Christopher Moore,385
40546,Martha Grimes,383
49189,R.L. Stine,381
45805,Olivia Goldsmith,377
17061,Elizabeth George,375
51476,Robert Fulghum,370
35261,Larry Niven,368
25418,Jacquelyn Mitchard,368
59839,Tom Robbins,366
20055,Garrison Keillor,365
21790,Greg Iles,362
31673,Joy Fielding,360
10516,Clive Barker,359
42884,Michael Palmer,358
1777,Amanda Quick,357
58622,Terry Mcmillan,356
62941,Yann Martel,356
7361,Caleb Carr,355
30310,John Le Carre,355
3254,Annie Proulx,352
10654,Colleen Mccullough,350
20741,George Orwell,348
3766,Arthur C. Clarke,348
13985,Dennis Lehane,348
697,Alan Dean Foster,346
18093,Erma Bombeck,345
33690,Kathy Reichs,345
6610,Brian Jacques,344
33823,Kaye Gibbons,343
37413,Lois Lowry,342
29249,Jodi Picoult,340
27768,Jeffrey Archer,339
18117,Ernest Hemingway,336
25277,Jackie Collins,334
33429,Kathleen E. Woodiwiss,332
26964,Janette Oke,330
2721,Ann Patchett,327
9807,Christine Feehan,326
2039,Andre Dubus Iii,323
47755,Perri O'Shaughnessy,321
8391,Cassie Edwards,321
54615,Scott Adams,320
48240,Peter Straub,317
41834,Maya Angelou,312
37547,Lori Foster,312
