,Book-Author,Count,Average
56436,Stephen King,5687,3.586073500967118
45501,Nora Roberts,5531,2.594286747423612
30064,John Grisham,4753,2.922364822217547
26104,James Patterson,3459,2.9679098005203817
11956,Danielle Steel,3116,1.8148267008985879
13423,Dean R. Koontz,2803,2.439885836603639
41105,Mary Higgins Clark,2782,2.2149532710280373
42444,Michael Crichton,2346,2.662404092071611
3128,Anne Rice,2286,3.0923009623797024
59670,Tom Clancy,2242,1.9906333630686888
57140,Sue Grafton,2070,2.4859903381642514
26833,Janet Evanovich,1964,3.485234215885947
60418,V.C. Andrews,1857,2.122240172320948
54149,Sandra Brown,1777,1.9870568373663478
24769,J. K. Rowling,1754,5.460091220068415
49096,R. L. Stine,1510,1.2741721854304635
8441,Catherine Coulter,1499,2.019346230820547
45136,Nicholas Sparks,1494,3.3092369477911645
11528,Dan Brown,1391,4.107117181883537
46546,Patricia Daniels Cornwell,1349,2.6597479614529282
38693,Maeve Binchy,1346,2.3959881129271916
31152,Jonathan Kellerman,1333,2.477119279819955
48760,Piers Anthony,1309,3.2681436210847976
2554,Anita Shreve,1259,3.040508339952343
3091,Anne Mccaffrey,1240,3.425
31858,Jude Deveraux,1229,2.381611065907242
52278,Robin Cook,1182,2.116751269035533
2688,Ann M. Martin,1139,0.7445127304653204
36632,Lilian Jackson Braun,1137,2.3491644678979773
30719,John Sandford,1136,2.5413732394366195
519,Agatha Christie,1109,2.45536519386835
4467,Barbara Kingsolver,1089,3.393939393939394
25077,Jack Canfield,1058,3.2551984877126654
51785,Robert Ludlum,1047,1.5864374403056352
50141,Rich Shapero,1015,1.0334975369458128
13490,Debbie Macomber,1004,1.9382470119521913
32113,Judy Blume,994,2.904426559356137
30184,John Irving,971,2.844490216271885
49876,Rebecca Wells,964,3.3506224066390042
18749,Fern Michaels,962,1.4241164241164241
30721,John Saul,961,2.202913631633715
24389,Iris Johansen,958,2.578288100208768
39162,Margaret Atwood,952,2.758403361344538
59367,Tim Lahaye,949,3.7017913593256058
13413,Dean Koontz,944,3.1620762711864407
1378,Alice Sebold,930,4.13010752688172
4345,Barbara Delinsky,922,1.9566160520607376
3163,Anne Tyler,914,2.1356673960612693
29485,Johanna Lindsey,892,2.539237668161435
58239,Tami Hoag,865,1.931791907514451
1961,Amy Tan,846,2.921985815602837
10517,Clive Cussler,842,2.2660332541567696
1327,Alice Hoffman,819,2.659340659340659
25019,J.R.R. Tolkien,815,4.608588957055215
62620,William Shakespeare,808,3.6918316831683167
45878,Orson Scott Card,804,3.9116915422885574
55572,Sidney Sheldon,798,1.5213032581453634
14457,Dick Francis,790,2.2746835443037976
35738,Lavyrle Spencer,789,2.510773130544994
12301,David Baldacci,776,2.3286082474226806
19092,Francine Pascal,770,0.9246753246753247
61336,Wally Lamb,767,3.6245110821382007
34042,Ken Follett,754,2.0822281167108754
36843,Linda Howard,735,2.477551020408163
