,Book-Author,Count
2688,Ann M. Martin,317
19092,Francine Pascal,310
62620,William Shakespeare,280
8226,Carolyn Keene,265
519,Agatha Christie,262
45501,Nora Roberts,233
49096,R. L. Stine,206
24446,Isaac Asimov,190
45416,No Authors,175
26824,Janet Dailey,160
48760,Piers Anthony,159
8859,Charles Dickens,148
14239,Diana Palmer,148
37719,Louis L'Amour,138
19414,Franklin W. Dixon,135
55970,Stan Berenstain,135
40357,Mark Twain,132
56436,Stephen King,131
3091,Anne Mccaffrey,127
39928,Marion Zimmer Bradley,121
49189,R.L. Stine,119
13490,Debbie Macomber,116
18749,Fern Michaels,116
697,Alan Dean Foster,104
21496,Golden Books,104
28613,Jim Davis,100
25077,Jack Canfield,98
26517,Jane Austen,97
14733,Don Pendleton,96
5504,Betty Neels,95
42160,Mercedes Lackey,91
2051,Andre Norton,89
39377,Margaret Weis,89
36843,Linda Howard,89
41105,Mary Higgins Clark,87
7259,C. S. Lewis,86
27245,Jayne Ann Krentz,86
8391,Cassie Edwards,85
5563,Beverly Cleary,85
54149,Sandra Brown,85
45878,Orson Scott Card,82
42161,Mercer Mayer,82
39890,Marion Chesney,82
4345,Barbara Delinsky,81
8065,Carole Mortimer,80
50721,Richard Scarry,80
16001,Ed Mcbain,79
10039,Christopher Pike,78
26964,Janette Oke,78
60418,V.C. Andrews,77
21101,Gertrude Chandler Warner,75
35749,Lawrence Block,75
50061,Rex Stout,74
4058,Author Unknown,74
59670,Tom Clancy,73
4870,Beatrix Potter,73
47916,Peter David,73
39688,Marie Ferrarella,73
2255,Andrew M. Greeley,73
45581,Norman Bridwell,72
41771,Max Lucado,72
35255,Larry Mcmurtry,72
52055,Robert Silverberg,71
31858,Jude Deveraux,71
19525,Fred Saberhagen,70
8441,Catherine Coulter,70
36884,Linda Lael Miller,70
5423,Better Homes And Gardens,69
58632,Terry Pratchett,69
47708,Penny Jordan,69
3116,Anne Perry,68
28785,Jim Wilson,68
32611,K. A. Applegate,67
23259,Henry James,66
10517,Clive Cussler,66
16142,Edith Wharton,65
11956,Danielle Steel,65
30780,John Steinbeck,64
60367,Ursula K. Le Guin,63
61346,Walt Disney Productions,62
40691,Martin H. Greenberg,62
51148,Robert A. Heinlein,62
17716,Emma Darcy,62
35828,Lawrence Sanders,61
48849,Poul Anderson,61
29819,John D. Macdonald,61
31720,Joyce Carol Oates,61
14457,Dick Francis,60
35261,Larry Niven,60
49603,Ray Bradbury,60
57140,Sue Grafton,60
37761,Louisa May Alcott,60
32596,Justine Korman,59
51783,Robert Louis Stevenson,59
3128,Anne Rice,59
29122,Joanna Cole,58
61158,W. E. B. Griffin,57
59065,Thomas Hardy,57
18117,Ernest Hemingway,57
51056,Roald Dahl,56
13476,Debbie Dadey,56
59367,Tim Lahaye,56
20203,Gary Paulsen,56
6853,Bruce Coville,56
17162,Elizabeth Lowell,56
4935,Ben Bova,55
53613,Ruth Rendell,55
59442,Time-Life Books,55
25142,Jack Higgins,55
16070,Edgar Allan Poe,55
22717,Harry Turtledove,55
56328,Stephen Cosgrove,54
57499,Susan Mallery,54
25177,Jack London,54
61344,Walt Disney,54
6243,Bonnie Bryant,54
34967,L. Frank Baum,53
45912,Oscar Wilde,53
9952,Christopher Golden,53
14873,Donald J. Sobol,53
33080,Kasey Michaels,52
22654,Harry Harrison,51
48663,Phyllis A. Whitney,51
26780,Janelle Taylor,51
17224,Elizabeth Peters,51
17522,Elmore Leonard,51
36632,Lilian Jackson Braun,51
44788,Nathaniel Hawthorne,51
13423,Dean R. Koontz,50
41294,Mary Pope Osborne,50
37034,Lindsay Mckenna,50
48705,Phyllis Reynolds Naylor,50
27405,Jean Plaidy,50
10265,Clamp,49
59984,Tony Hillerman,49
51208,Robert B. Parker,49
28971,Joan Hess,49
38965,Marc Brown,49
25530,James A. Michener,49
52650,Roger Zelazny,49
49879,Rebecca Winters,49
12995,David P. Jordan,48
18572,F. Scott Fitzgerald,48
36527,Lewis Carroll,48
33320,Katherine Kurtz,48
48467,Philip K. Dick,48
59617,Todd Strasser,47
42836,Michael Moorcock,47
51785,Robert Ludlum,47
53408,Rudyard Kipling,47
3153,Anne Stuart,47
31152,Jonathan Kellerman,47
28988,Joan Johnston,47
62683,William W. Johnstone,47
3085,Anne Mather,47
60082,Tracey West,46
22853,Heather Graham,46
43034,Michael Teitelbaum,46
40922,Mary Balogh,46
14296,Diane Duane,46
33787,Kay Hooper,46
17506,Ellis Peters,46
10059,Christopher Stasheff,46
39365,Margaret Truman,46
8096,Caroline B. Cooney,46
38075,Lurlene Mcdaniel,46
4407,Barbara Hambly,46
44148,Muriel Jensen,45
38641,Madeleine L'Engle,45
51193,Robert Asprin,45
34398,Kevin J. Anderson,45
15431,Douglas Adams,45
22122,H. G. Wells,45
29485,Johanna Lindsey,45
33235,Kate William,45
25170,Jack L. Chalker,45
3200,Annette Broadrick,45
60698,Vicki Lewis Thompson,45
28406,Jessica Steele,44
33960,Kelli M. Gary,44
12489,David Drake,44
25874,James Howe,44
26104,James Patterson,43
55055,Sharon Sala,43
3766,Arthur C. Clarke,43
24874,J. R. R. Tolkien,43
49002,R. A. Salvatore,43
14482,Dick Stivers,43
58572,Terry Brooks,43
32113,Judy Blume,43
49754,Reader'S Digest,43
41419,Mary-Kate & Ashley Olsen,42
49882,Rebecca York,42
10722,Connie Mason,42
45029,Ngaio Marsh,42
11688,Dana Fuller Ross,42
12516,David Eddings,42
51216,Robert Barnard,42
34996,L. Ron Hubbard,42
29006,Joan Lowery Nixon,42
38395,M. C. Beaton,42
43715,Miranda Lee,42
31360,Joseph Conrad,41
24769,J. K. Rowling,41
