,City,Count
5075,st. louis,9422
927,chicago,6789
3898,olympia,6765
2950,little canada,6458
4773,seattle,5831
1885,ft. stewart,5814
3443,morrow,5781
4256,portland,4895
4641,san antonio,4255
1066,colorado springs,4105
4647,san diego,4099
3929,orlando,3984
3234,mechanicsville,3794
2963,livermore,3257
4348,raleigh,3254
3347,minneapolis,3210
1677,fairbanks,3094
225,austin,3086
2418,houston,3041
5851,wiley ford,2971
145,antioch,2915
3024,louisville,2860
4889,simi valley,2850
3900,omaha,2782
5407,tucson,2677
3145,marietta,2647
4471,roanoke,2631
3107,manchester,2561
3279,mesa,2543
39,akron,2520
4650,san francisco,2498
3586,nashville,2492
2591,kansas city,2482
5903,winnemucca,2437
2614,kelseyville,2406
885,charleston,2375
4158,pittsburgh,2353
69,alexandria,2327
2315,highland,2324
3674,new york,2298
106,alvin,2231
3844,oakland,2216
2526,jacksonville,2123
2347,hobe sound,2090
2988,long beach,2089
385,belton,2058
3287,miami,2055
196,astoria,2010
4119,phoenix,2004
4597,sacramento,1983
1218,cumberland,1983
5765,west sacramento,1977
1070,columbia,1925
4116,philadelphia,1904
59,albuquerque,1893
2538,jasper,1886
873,chantilly,1875
374,bellingham,1826
2957,little rock,1820
4548,round rock,1802
5037,springfield,1785
2902,lexington,1748
4657,san jose,1714
4549,rowland heights,1651
626,brooklyn,1648
3883,oklahoma city,1644
4662,san marcos,1617
6009,yucca valley,1601
1077,columbus,1590
1903,gaithersburg,1587
2387,honolulu,1572
5936,woodbridge,1558
1529,el cajon,1558
951,chula vista,1556
204,atlanta,1542
726,campbellsport,1537
3585,nashua,1520
2832,las vegas,1503
5414,tulsa,1480
4157,pittsburg,1464
2800,lakewood,1459
134,ann arbor,1457
5217,sunnyvale,1445
4843,sherman oaks,1445
265,baltimore,1441
958,cincinnati,1433
692,byron,1420
4724,savannah,1401
1139,cortez,1397
3012,los angeles,1394
2700,knoxville,1388
4347,rainsville,1366
1336,detroit,1357
3174,maryville,1355
2921,lincoln,1341
5084,st. petersburg,1324
2420,howell,1320
1306,delray beach,1294
4948,sonoma,1291
2481,indianapolis,1290
3892,olive branch,1272
3337,milwaukee,1247
5718,west columbia,1235
1357,disputanta,1227
793,cary,1220
5547,virginia beach,1190
2284,henryville,1183
3391,monroe twp.,1182
3371,modesto,1165
3260,mentor,1160
5181,sturgis,1147
5883,wilmington,1124
3441,morrisville,1114
177,arlington,1110
2455,hyde park,1104
5354,toccoa,1094
187,asheville,1082
3305,middletown,1068
1900,gahanna,1050
1513,edinburg,1049
