,Decade-Of-Publication,Book-Rating
8,1990,9
9,1990,8
13,1990,6
15,1990,10
16,1990,8
26,1990,5
27,1990,8
37,1990,10
38,1990,10
47,1990,8
53,1990,8
55,1990,10
56,1990,9
60,1990,9
61,1990,8
62,1990,7
72,1990,8
75,1990,7
78,1990,6
79,1990,6
81,1990,10
84,1990,7
87,1990,7
89,1990,9
96,1990,7
104,1990,7
106,1990,8
109,1990,4
117,1990,6
126,1990,7
133,1990,5
139,1990,9
147,1990,4
155,1990,8
156,1990,10
157,1990,8
158,1990,7
168,1990,8
171,1990,6
177,1990,9
189,1990,6
192,1990,10
195,1990,10
200,1990,8
207,1990,9
208,1990,10
211,1990,6
213,1990,7
216,1990,8
217,1990,7
220,1990,6
223,1990,10
244,1990,5
249,1990,6
255,1990,7
262,1990,8
267,1990,8
272,1990,6
273,1990,9
277,1990,7
280,1990,5
282,1990,8
288,1990,5
293,1990,8
304,1990,7
312,1990,9
317,1990,10
320,1990,5
321,1990,10
324,1990,8
325,1990,9
329,1990,10
331,1990,10
337,1990,9
347,1990,8
348,1990,8
350,1990,8
351,1990,8
362,1990,8
365,1990,7
371,1990,9
376,1990,10
380,1990,8
383,1990,8
385,1990,9
388,1990,9
391,1990,8
394,1990,2
396,1990,2
399,1990,5
402,1990,9
403,1990,10
409,1990,10
410,1990,5
412,1990,8
417,1990,7
418,1990,10
420,1990,7
426,1990,7
427,1990,8
428,1990,10
436,1990,10
437,1990,9
438,1990,10
441,1990,10
442,1990,10
447,1990,4
449,1990,10
450,1990,9
458,1990,7
459,1990,5
462,1990,8
464,1990,9
466,1990,5
470,1990,7
478,1990,10
487,1990,10
492,1990,9
493,1990,8
500,1990,9
503,1990,9
510,1990,10
516,1990,5
521,1990,6
522,1990,9
525,1990,6
526,1990,10
528,1990,7
530,1990,8
531,1990,10
533,1990,10
548,2000,5
549,2000,1
550,2000,3
551,2000,6
558,2000,2
559,2000,5
566,2000,4
572,2000,3
578,2000,3
581,2000,1
582,2000,1
585,2000,2
586,2000,7
618,2000,5
631,2000,10
637,2000,6
648,2000,3
655,2000,2
656,2000,8
659,2000,6
662,2000,6
672,2000,1
677,2000,1
678,2000,6
682,2000,9
689,2000,3
691,2000,7
694,2000,8
695,2000,4
696,2000,3
697,2000,1
701,2000,9
714,2000,2
715,2000,5
717,2000,5
721,2000,2
