,User-Decade,Book-Rating
8,40,9
9,50,8
13,50,6
15,30,10
16,30,8
26,30,5
27,50,8
37,70,10
38,30,10
47,60,8
53,50,8
55,50,10
56,50,9
60,50,9
61,30,8
62,40,7
72,50,8
75,40,7
78,50,6
79,30,6
81,70,10
84,10,7
87,20,7
89,10,9
96,20,7
104,40,7
106,50,8
109,20,4
117,50,6
126,40,7
133,20,5
139,10,9
147,30,4
155,30,8
156,40,10
157,40,8
158,30,7
168,40,8
171,30,6
177,40,9
189,50,6
192,20,10
195,10,10
200,40,8
207,40,9
208,70,10
211,30,6
213,40,7
216,20,8
217,30,7
220,30,6
223,60,10
244,40,5
249,40,6
255,50,7
262,50,8
267,30,8
272,40,6
273,50,9
277,50,7
280,40,5
282,10,8
288,30,5
293,50,8
304,30,7
312,20,9
317,30,10
320,30,5
321,40,10
324,30,8
325,30,9
329,30,10
331,20,10
337,60,9
347,30,8
348,30,8
350,40,8
351,80,8
362,30,8
365,30,7
371,20,9
376,30,10
380,20,8
383,20,8
385,50,9
388,30,9
391,40,8
394,20,2
396,20,2
399,80,5
402,20,9
403,40,10
409,20,10
410,30,5
412,50,8
417,60,7
418,30,10
420,30,7
426,30,7
427,30,8
428,30,10
436,50,10
437,40,9
438,20,10
441,30,10
442,50,10
447,20,4
449,30,10
450,60,9
458,40,7
459,20,5
462,20,8
464,30,9
466,30,5
470,20,7
478,20,10
487,30,10
492,40,9
493,60,8
500,20,9
503,30,9
510,60,10
516,20,5
521,40,6
522,30,9
525,20,6
526,20,10
528,20,7
530,20,8
531,30,10
533,10,10
548,30,5
549,30,1
550,30,3
551,40,6
558,20,2
559,50,5
566,30,4
572,40,3
578,20,3
581,50,1
582,30,1
585,30,2
586,30,7
618,30,5
631,10,10
637,50,6
648,20,3
655,120,2
656,30,8
659,30,6
662,30,6
672,40,1
677,50,1
678,30,6
682,50,9
689,40,3
691,50,7
694,50,8
695,30,4
696,10,3
697,20,1
701,30,9
714,30,2
715,60,5
717,50,5
721,40,2
732,30,7
735,30,4
745,30,1
754,40,7
760,60,3
761,50,4
765,20,5
766,30,8
768,50,1
782,40,6
792,10,9
799,20,3
801,40,2
802,40,6
808,40,8
809,50,7
824,40,4
826,50,5
827,40,6
829,30,6
830,40,5
831,40,6
836,20,3
837,40,3
842,20,1
844,40,5
850,30,8
852,20,1
857,30,8
860,30,6
865,30,8
867,50,8
870,20,5
875,40,1
879,20,7
883,50,2
886,10,8
892,50,3
895,40,2
902,30,8
908,20,7
913,20,5
919,40,6
938,30,5
942,20,4
943,20,1
944,50,7
945,30,2
949,50,1
950,30,2
951,50,6
961,20,8
969,70,2
970,30,2
981,60,5
983,30,3
985,50,4
994,60,6
995,20,6
998,40,3
1002,40,5
1008,20,4
1014,10,8
1023,30,4
1035,30,9
1037,30,1
1043,40,1
1044,30,2
1046,40,5
1049,20,7
1059,20,2
1067,50,6
1069,20,9
1076,70,4
1081,40,8
1086,20,2
1092,30,1
1093,30,4
1097,40,9
1098,30,7
1101,50,5
1113,50,3
1122,30,7
1138,20,3
1141,20,2
1144,10,9
1155,50,1
1162,30,8
1187,40,5
1190,50,6
1195,20,2
1200,20,4
1207,20,6
1209,30,4
1217,40,7
1220,20,2
1221,50,6
1222,20,6
1225,20,2
1230,20,5
1234,20,9
1248,50,3
1249,20,1
1251,20,5
1255,20,2
1270,30,6
1275,20,7
1277,20,1
1279,70,5
1287,30,4
1290,40,7
1294,20,3
1303,20,4
1305,20,4
1308,30,4
1309,10,5
1313,60,1
1314,10,7
1329,40,7
1335,30,3
1338,60,6
1345,50,5
1350,30,5
1352,20,2
1360,40,6
1363,40,7
1364,30,2
1369,30,6
1373,30,3
1379,20,5
1380,50,5
1389,20,3
1397,20,8
1401,20,7
1418,20,5
1423,50,4
1425,50,3
1429,50,3
1431,20,6
1448,30,5
1457,60,5
1474,20,3
1475,50,8
1482,50,7
1486,30,1
1487,20,3
1488,30,2
1497,60,3
1500,50,1
1504,40,7
1514,50,3
1515,50,3
1516,20,1
1523,20,1
1535,40,5
1536,20,2
1540,50,4
1551,40,8
1552,40,3
1554,40,7
1558,20,5
1561,70,5
1567,50,5
1571,40,3
1573,30,7
1574,30,1
1575,40,1
1579,50,3
1582,10,8
1596,40,3
1598,10,5
1600,50,3
1604,50,6
1606,40,7
1616,10,4
1619,70,4
1628,20,1
1638,70,5
1662,30,3
1665,40,8
1669,30,1
1670,30,4
1671,20,1
1672,30,5
1676,30,3
1684,30,6
1688,20,2
1694,20,2
1696,50,2
1697,50,2
1700,30,10
1703,40,2
1708,40,7
1711,30,2
1715,10,2
1718,40,3
1719,30,1
