User-ID,Age,State,Book-Rating,pages,Year-Of-Publication
20,19.0,pennsylvania,9.0,259.0,1998.0
99,42.0,colorado,9.0,282.5,2000.5
109,20.0,indiana,5.0,189.0,1995.0
139,35.0,maryland,10.0,375.0,2004.0
199,38.0,texas,8.11111111111111,321.0,2003.0
237,27.0,minnesota,5.0,212.0,2003.0
254,24.0,minnesota,8.380487900626346,325.7073170731707,1998.0975609756097
272,20.0,washington,7.5,217.5,1992.0
367,45.0,california,9.0,399.0,2002.0
387,17.0,missouri,6.069230769230769,228.2,2000.8
388,35.0,tennessee,7.036274509803921,309.0,1997.6666666666667
408,17.0,california,7.074285714285715,241.4,1987.6
424,29.0,oregon,8.155844155844155,492.0,2003.0
444,40.0,oregon,6.833333333333334,347.0,2001.5
486,31.0,oregon,9.0,293.0,1998.0
493,29.0,kansas,8.0,366.0,1997.0
500,17.0,texas,8.5,380.3333333333333,2003.0
503,40.0,california,10.0,239.0,1994.0
505,51.0,district of columbia,8.0,399.25,1993.25
538,26.0,missouri,5.875,381.0,2003.0
596,49.0,california,8.0,302.0,2001.0
638,20.0,california,8.894346509971509,305.09375,1998.59375
651,26.0,florida,6.864197530864198,302.77777777777777,1996.888888888889
683,28.0,illinois,8.0,692.0,1998.0
685,21.0,wisconsin,10.0,620.0,2001.0
709,14.0,virginia,3.75,218.75,2001.25
726,31.0,new jersey,5.0,392.0,2003.0
735,29.0,new york,7.218518518518518,358.3333333333333,1997.6666666666667
739,55.0,minnesota,9.0,116.0,1995.0
741,16.0,missouri,8.156492008568133,242.11764705882354,1996.0
746,36.0,colorado,7.571428571428571,302.5,1996.0
757,29.0,pennsylvania,8.0,534.0,1995.0
805,34.0,california,8.416666666666666,355.0,1993.8333333333333
824,15.0,new mexico,5.0,110.0,1991.0
834,17.0,maryland,6.0,292.0,1999.0
843,25.0,tennessee,8.378571428571428,390.0,1999.0
876,33.0,massachusetts,5.75,372.0,1991.0
882,23.0,california,7.806563282396616,397.8333333333333,1994.5555555555557
900,25.0,pennsylvania,5.0,334.0,1990.0
902,18.0,missouri,8.0,463.0,2002.0
903,19.0,california,9.0,283.0,1982.0
965,24.0,new mexico,9.0,221.0,2001.0
989,33.0,texas,8.0,255.0,1993.0
1009,56.0,minnesota,8.0,387.0,2003.0
1054,37.0,minnesota,8.0,235.0,2003.0
1075,49.0,texas,7.25,291.75,2001.0
1082,36.0,washington,10.0,354.0,1997.0
1113,22.0,missouri,4.5,249.0,2003.0
1129,53.0,washington,6.980198019801979,291.0,2000.0
1150,25.0,vermont,10.0,220.0,1994.0
1167,25.0,wisconsin,7.206521739130435,317.75,1999.5
1184,38.0,california,7.337142857142856,282.0,1999.4
1254,26.0,indiana,8.886363636363637,469.75,1997.25
1258,18.0,minnesota,9.0,322.0,2001.0
1266,19.0,illinois,10.0,365.0,2001.0
1297,30.0,california,7.333333333333333,204.33333333333334,1993.0
1300,37.0,wisconsin,7.5,234.0,2001.0
1309,28.0,louisiana,7.0,358.0,2002.0
1348,43.0,california,8.347826086956522,439.0,1996.0
1360,36.0,california,7.0,457.0,2000.0
1368,22.0,virginia,6.333333333333333,466.6666666666667,2002.3333333333333
1403,26.0,virginia,8.0,726.0,2000.0
1409,74.0,michigan,5.5,325.0,2000.5
1412,47.0,north carolina,8.0,215.0,2000.3333333333333
1427,22.0,hawaii,10.0,174.0,1995.0
1435,36.0,missouri,7.172727272727273,296.7142857142857,1997.7857142857142
1485,30.0,new jersey,7.603448275862069,518.5,1993.0
1489,20.0,massachusetts,8.0,378.0,1998.0
1513,40.0,virginia,8.0,337.0,1994.0
1515,27.0,indiana,9.0,213.0,1999.0
1535,69.0,virginia,10.0,460.0,1995.0
1548,28.0,new york,7.625,306.0,2002.0
1558,61.0,illinois,10.0,319.0,1993.0
1567,57.0,west virginia,7.0,677.0,1988.0
1570,28.0,new york,10.0,114.0,1989.0
1583,48.0,california,5.0,227.0,1983.0
1596,51.0,tennessee,7.166666666666667,304.5,2002.0
1597,23.0,texas,5.0,169.0,1998.0
1608,27.0,new jersey,8.032786885245901,269.0,1991.0
1617,24.0,illinois,7.0,468.0,1996.0
1674,26.0,minnesota,8.640196078431373,408.7,1997.2
1683,46.0,california,7.0,379.0,1998.0
1705,32.0,texas,7.96,413.0,1996.0
1706,26.0,washington,8.0,211.5,1994.0
1733,30.0,west virginia,7.485064935064935,349.3333333333333,1997.0666666666666
1790,25.0,illinois,6.0,393.5,2000.0
1812,24.0,utah,7.0,358.0,1990.0
1848,22.0,washington,8.94535519125683,334.09090909090907,1995.3636363636363
1892,47.0,indiana,9.0,276.0,1999.0
1898,47.0,illinois,9.0,60.0,1996.0
1900,51.0,ohio,8.0,219.5,1995.0
1928,17.0,missouri,8.028571428571428,276.0,1998.6
2024,34.0,california,8.142857142857142,331.2857142857143,1987.7142857142858
2030,31.0,washington,10.0,221.0909090909091,1996.0
2033,27.0,nebraska,8.552381089532586,355.0,1995.35
2046,22.0,missouri,5.5,240.66666666666666,2001.3333333333333
2082,14.0,ohio,8.0,115.0,1996.0
2090,28.0,massachusetts,6.9375,353.0,1999.0
2103,43.0,minnesota,9.0,336.0,1994.25
2106,44.0,colorado,6.0,494.0,2002.0
2134,35.0,california,8.0,205.66666666666666,1996.0
2136,45.0,oregon,8.333333333333334,300.0,1996.0
2139,33.0,virginia,7.0,294.0,2002.0
2147,35.0,nevada,8.0,108.0,2003.0
2179,30.0,massachusetts,9.4,315.4,1998.7
2190,29.0,kansas,7.333333333333333,250.0,1998.0
2238,34.0,california,9.08108108108108,258.0,1992.5
2255,35.0,virginia,8.0,284.5,1995.0
2276,46.0,new york,8.531728927203066,345.8103448275862,1991.2931034482758
